0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action
1.0,175.5602,8.0,25.0,0.0,1.0,186.89717,0.0,23.112274,0.0,1.0,196.79251,12.0,22.673529,0.0,1.0,206.01811,12.0,21.644424,0.0,1.0,217.14937,8.0,23.935541,0.0,1.0,227.41212,8.0,22.365307,0.0,1.0,237.29292,4.0,23.259705,0.0,1.0,248.24808,4.0,22.17434,0.0,1.0,258.0304,8.0,21.504618,0.0,1.0,267.7894,4.0,21.565002,0.0,0
1.0,199.79735,4.6029587,24.11266,-1.6767552,1.0,209.78712,0.0,22.613766,0.0,1.0,216.66603,12.0,16.673529,0.0,1.0,227.30301,12.0,20.884478,0.0,1.0,238.28491,8.0,17.935541,0.0,1.0,247.31671,8.0,17.719864,0.0,1.0,257.75262,4.0,17.259705,0.0,1.0,267.67792,4.0,16.771566,0.0,1.0,277.2241,8.0,17.572784,0.0,1.0,288.82263,4.0,20.396004,0.0,0
1.0,223.5142,0.6470847,23.959715,-1.8261133,1.0,230.46877,8.899132,12.265608,-2.100988,1.0,232.12825,0.0,22.034878,0.0,1.0,247.89497,12.0,20.295187,0.0,1.0,253.42046,8.0,11.935541,0.0,1.0,263.99704,8.0,15.804838,0.0,1.0,272.21234,4.0,11.259705,0.0,1.0,283.55194,4.0,15.230519,0.0,1.0,294.34613,8.0,16.785677,0.0,1.0,308.55713,4.0,18.884129,0.0,3
1.0,247.51817,0.052921437,24.004421,-0.16522212,1.0,241.7015,11.191248,11.723266,1.9827039,1.0,253.92255,0.0,21.5385,0.0,1.0,263.35233,8.0,8.91388,0.0,1.0,267.98596,12.0,19.881943,0.0,1.0,279.40176,8.0,15.08227,0.0,1.0,281.78717,4.0,8.826896,0.0,1.0,298.50934,4.0,14.69219,0.0,1.0,311.00314,8.0,16.555315,0.0,1.0,326.5133,4.0,16.884771,0.0,2
1.0,178.93742,0.0,25.0,0.0,1.0,189.08139,0.0,23.505001,0.0,1.0,199.17331,4.0,22.709646,0.0,1.0,208.92503,4.0,23.514769,0.0,1.0,219.57437,8.0,22.302216,0.0,1.0,230.80713,12.0,23.754086,0.0,1.0,241.0914,0.0,21.61142,0.0,1.0,251.40334,4.0,23.266932,0.0,1.0,261.96848,4.0,23.692331,0.0,1.0,273.1675,12.0,23.117031,0.0,2
1.0,203.43489,0.0,24.170889,0.0,1.0,211.45093,0.0,21.30348,0.0,1.0,218.9013,5.2958374,16.145329,4.305882,1.0,230.93091,4.0,20.387087,0.0,1.0,241.2968,8.0,20.745363,0.0,1.0,252.92686,12.0,20.446281,0.0,1.0,261.67825,0.0,19.683332,0.0,1.0,271.87027,4.0,17.266932,0.0,1.0,284.33954,4.0,20.969612,0.0,1.0,293.373,8.880348,18.175104,-2.173435,2
1.0,175.55199,12.0,25.0,0.0,1.0,186.41728,12.0,22.085836,0.0,1.0,196.19006,0.0,21.737225,0.0,1.0,205.3203,12.0,21.100702,0.0,1.0,215.34158,0.0,23.13139,0.0,1.0,225.91399,4.0,23.580528,0.0,1.0,235.48167,0.0,22.450026,0.0,1.0,246.57895,4.0,23.119617,0.0,1.0,256.3247,12.0,21.836197,0.0,1.0,265.64017,8.0,21.723837,0.0,0
1.0,199.78915,8.602959,24.11266,-1.6767552,1.0,205.71397,12.0,16.334501,0.0,1.0,214.8974,1.6093559,15.278113,4.2679677,1.0,225.70467,12.0,19.710428,0.0,1.0,235.74214,0.0,17.817858,0.0,1.0,246.6945,4.0,17.580528,0.0,1.0,257.71323,0.0,21.85172,0.0,1.0,267.2216,4.0,18.471914,0.0,1.0,277.2448,12.0,20.068726,0.0,1.0,284.68158,8.0,16.571804,0.0,3
1.0,223.50601,4.6470847,23.959715,-1.8261133,1.0,220.96121,12.0,14.548868,0.0,1.0,229.88011,3.6407263,14.711697,0.91990906,1.0,245.00737,12.0,18.9094,0.0,1.0,252.7771,0.0,16.548418,0.0,1.0,262.2266,4.0,13.987312,0.0,1.0,279.2471,0.0,21.200726,0.0,1.0,284.5588,4.0,16.299885,0.0,1.0,296.79315,12.0,19.041605,0.0,1.0,300.32785,8.0,14.958449,0.0,3
1.0,177.4128,8.0,25.0,0.0,1.0,187.30746,8.0,21.141708,0.0,1.0,198.53352,12.0,21.93317,0.0,1.0,209.25243,0.0,23.660208,0.0,1.0,219.51036,8.0,22.58,0.0,1.0,229.02504,0.0,22.270254,0.0,1.0,239.2755,0.0,23.855825,0.0,1.0,250.18375,8.0,23.427898,0.0,1.0,261.5814,0.0,23.61098,0.0,1.0,272.22037,4.0,23.731264,0.0,0
1.0,201.64996,4.6029587,24.11266,-1.6767552,1.0,206.88797,8.0,18.192112,0.0,1.0,220.1021,12.0,21.198689,0.0,1.0,230.11263,0.0,17.660208,0.0,1.0,240.17206,8.0,19.084923,0.0,1.0,248.49529,0.0,16.270254,0.0,1.0,260.37863,0.0,18.369074,0.0,1.0,272.2845,8.0,20.969532,0.0,1.0,283.9227,0.0,21.215633,0.0,1.0,294.10483,4.0,20.129675,0.0,3
1.0,225.36682,0.6470847,23.959715,-1.8261133,1.0,224.33597,8.0,16.776209,0.0,1.0,241.02461,12.0,20.617188,0.0,1.0,244.97284,0.0,11.674891,0.0,1.0,258.51303,8.0,17.704168,0.0,1.0,262.09604,0.0,11.315008,0.0,1.0,277.67935,0.0,16.503153,0.0,1.0,292.68137,8.0,19.88811,0.0,1.0,304.49567,0.0,19.949825,0.0,1.0,313.16708,4.0,18.03821,0.0,2
1.0,249.37077,0.052921437,24.004421,-0.16522212,1.0,254.96654,0.0,8.802099,0.0,1.0,240.44904,6.0809274,15.466528,-4.236637,1.0,261.3837,12.0,20.068214,0.0,1.0,272.9799,0.0,10.709647,0.0,1.0,275.8092,7.5700736,17.1377,0.6520151,1.0,293.53268,2.381461,15.519485,3.6697206,1.0,312.30286,8.0,19.386635,0.0,1.0,324.01697,0.0,19.060585,0.0,1.0,330.5768,4.0,16.809683,0.0,2
1.0,178.69034,8.0,25.0,0.0,1.0,190.13959,0.0,23.72763,0.0,1.0,199.73027,12.0,22.697847,0.0,1.0,210.95398,4.0,22.42127,0.0,1.0,220.12799,4.0,21.171194,0.0,1.0,230.9811,8.0,22.550556,0.0,1.0,241.34924,0.0,22.972084,0.0,1.0,251.39175,8.0,23.50408,0.0,1.0,262.18896,12.0,21.790024,0.0,1.0,272.21338,4.0,22.964458,0.0,1
1.0,202.9275,4.6029587,24.11266,-1.6767552,1.0,212.82838,0.0,21.699715,0.0,1.0,221.75922,12.0,21.394524,0.0,1.0,230.57526,4.0,16.42127,0.0,1.0,240.73227,4.0,20.097525,0.0,1.0,250.75462,8.0,16.870378,0.0,1.0,263.2005,0.0,20.733828,0.0,1.0,272.52954,8.0,18.862064,0.0,1.0,283.38675,12.0,20.684715,0.0,1.0,294.60928,4.0,21.805222,0.0,0
1.0,226.64436,0.6470847,23.959715,-1.8261133,1.0,233.89723,0.0,20.437174,0.0,1.0,242.76909,12.0,20.641674,0.0,1.0,244.5305,4.0,12.300603,0.0,1.0,260.54974,4.0,19.557995,0.0,1.0,266.21564,8.0,14.258835,0.0,1.0,283.1884,0.0,19.232668,0.0,1.0,289.9405,8.0,16.030148,0.0,1.0,303.8105,12.0,20.19815,0.0,1.0,316.00333,4.0,20.976446,0.0,2
1.0,183.63939,12.0,25.0,0.0,1.0,193.38313,4.0,23.468895,0.0,1.0,203.72946,0.0,22.550243,0.0,1.0,215.46199,0.0,23.185802,0.0,1.0,225.9014,12.0,21.242598,0.0,1.0,235.7778,0.0,21.75302,0.0,1.0,247.1905,0.0,22.799696,0.0,1.0,257.48187,4.0,23.046576,0.0,1.0,268.10028,8.0,23.053173,0.0,1.0,279.52634,0.0,22.913395,0.0,0
1.0,207.87656,8.602959,24.11266,-1.6767552,1.0,216.19318,4.0,22.142626,0.0,1.0,223.4797,0.0,16.550243,0.0,1.0,235.8478,0.0,17.185802,0.0,1.0,246.73273,12.0,20.17923,0.0,1.0,254.73083,0.0,15.75302,0.0,1.0,268.23712,0.0,19.770817,0.0,1.0,279.1216,4.0,20.241846,0.0,1.0,288.35345,8.0,17.512901,0.0,1.0,302.23505,0.0,22.505802,0.0,3
1.0,231.59341,4.6470847,23.959715,-1.8261133,1.0,237.22995,0.0,10.550243,0.0,1.0,237.8548,4.0,21.147339,0.0,1.0,250.28082,0.0,11.698145,0.0,1.0,266.4112,12.0,19.151396,0.0,1.0,268.55478,0.0,12.792601,0.0,1.0,287.53757,0.0,18.948013,0.0,1.0,298.37537,4.0,18.19568,0.0,1.0,306.18848,8.0,18.115807,0.0,1.0,324.60706,0.0,22.238718,0.0,0
