0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action
1.0,2.0,45.0,4.8985874e-16,-8.0,1.0,-2.726516,19.813282,19.796986,2.7242737,1.0,-19.907793,13.4044695,8.904283,13.22429,1.0,121.13344,-2.0,-17.203503,2.1068214e-15,1.0,-17.13386,-10.316531,-8.295178,13.776765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,2.5094016,37.028347,0.8581168,-7.953844,1.0,-8.31276,24.162401,10.854397,11.676908,1.0,15.236679,13.027041,14.405517,-13.850033,1.0,-19.136322,5.2347116,2.7156384,15.850381,1.0,103.92994,-2.0,-17.203503,2.1068214e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,4.3347745,29.245956,2.0535314,-7.7319474,1.0,-2.55859,38.855522,3.021923,15.653628,1.0,-9.383597,17.470877,13.343999,8.974795,1.0,32.0886,3.410034,19.182888,-5.5999255,1.0,86.72643,-2.0,-17.203503,2.1068214e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,9.446064,23.356323,5.9900465,-5.3027673,1.0,6.2030196,18.835339,15.698006,-3.4902537,1.0,-2.0453043,54.78251,0.13286005,15.942097,1.0,51.94871,1.938169,19.983515,0.038761698,1.0,69.52293,-2.0,-17.203503,2.1068214e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,15.647909,18.313747,6.0092936,-5.2809463,1.0,17.927912,8.475438,8.281717,-13.784862,1.0,-2.0059206,70.7251,0.015897917,15.942642,1.0,71.93218,1.9911271,19.983538,0.024249798,1.0,52.319427,-2.0,-17.203503,2.1068214e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,20.546768,12.023791,4.494055,-6.618419,1.0,91.91573,1.9990792,19.983551,0.0026570372,1.0,35.164375,-2.7800996,-17.023788,-2.4801583,1.0,18.492437,-7.1604667,-4.2901173,-15.498521,1.0,-2.0007896,86.66775,0.0021126522,15.94265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,23.295263,4.5479894,2.2131114,-7.6877913,1.0,111.899284,1.9999071,19.983551,0.00026952784,1.0,21.781527,-12.063807,-10.21729,-13.840792,1.0,8.37767,-19.25558,-10.129651,-12.489973,1.0,-2.0001054,102.6104,0.00028199167,15.94265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,23.470219,-3.4130704,-0.41391218,-7.989285,1.0,131.88283,1.9999907,19.983551,2.7127771e-05,1.0,9.779286,-21.878574,-13.751537,-7.131468,1.0,2.978133,-34.35633,-3.8961055,-15.602231,1.0,-2.000014,118.55305,3.764619e-05,15.94265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,21.013552,-10.987069,-3.0253425,-7.4058967,1.0,151.86638,1.999999,19.983551,2.7281228e-06,1.0,2.0163932,-50.375538,-0.096158,-16.081045,1.0,-5.820363,-23.148724,-16.11883,2.6864028,1.0,-2.000002,134.4957,5.025842e-06,15.94265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,14.138109,-14.879749,-6.5047812,-4.657018,1.0,2.0015805,-66.456856,-0.0045232014,-16.081331,1.0,171.84993,1.9999999,19.983551,2.743312e-07,1.0,-19.295094,-14.071719,-10.977474,12.702656,1.0,-2.0000002,150.43834,6.7096016e-07,15.94265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
