vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,relative_velocity_closest_ego,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_closest_left,relative_velocity_closest_right
0.0,0.0,0.0,-3.9997630000000015,11.004729999999995,11.004729999999995,11.004729999999995,-3.9997630000000015,-3.9997630000000015
5.0,1.0,0.0,-2.6273400000000002,10.147429999999986,84.88040000000001,10.147429999999986,-3.4738450000000007,-2.6273400000000002
0.0,0.0,4.0,-3.6561829999999986,10.718050000000005,10.718050000000005,10.718050000000005,-3.6561829999999986,-3.6561829999999986
0.0,0.0,0.0,-1.9706229999999998,10.474819999999994,10.474819999999994,10.474819999999994,-1.9706229999999998,-1.9706229999999998
0.0,0.0,3.0,-1.9533729999999991,11.607120000000009,11.607120000000009,11.607120000000009,-1.9533729999999991,-1.9533729999999991
0.0,0.0,0.0,-3.3779499999999985,9.992829999999998,9.992829999999998,9.992829999999998,-3.3779499999999985,-3.3779499999999985
0.0,0.0,2.0,-3.4116339999999994,9.84169,9.84169,9.84169,-3.4116339999999994,-3.4116339999999994
0.0,0.0,0.0,-1.5596299999999985,11.409320000000008,11.409320000000008,11.409320000000008,-1.5596299999999985,-1.5596299999999985
0.0,0.0,0.0,-3.8965509999999988,9.720220000000012,9.720220000000012,9.720220000000012,-3.8965509999999988,-3.8965509999999988
0.0,0.0,0.0,-1.1493719999999996,10.917540000000002,10.917540000000002,10.917540000000002,-1.1493719999999996,-1.1493719999999996
0.0,0.0,0.0,-1.4286269999999988,10.129019999999997,10.129019999999997,10.129019999999997,-1.4286269999999988,-1.4286269999999988
0.0,0.0,1.0,-2.2984180000000016,9.501139999999992,9.501139999999992,52.59715,-2.2984180000000016,-1.0957100000000004
0.0,0.0,1.0,-3.137253000000001,10.967700000000008,10.967700000000008,84.82829000000004,-3.137253000000001,-2.326343999999999
0.0,0.0,0.0,-2.5938100000000013,9.490200000000016,9.490200000000016,9.490200000000016,-2.5938100000000013,-2.5938100000000013
0.0,0.0,0.0,-1.5977880000000013,11.109040000000022,11.109040000000022,11.109040000000022,-1.5977880000000013,-1.5977880000000013
0.0,0.0,0.0,-3.808674,10.032499999999999,10.032499999999999,10.032499999999999,-3.808674,-3.808674
0.0,0.0,1.0,-2.9301819999999985,9.721129999999988,9.721129999999988,40.89243999999999,-2.9301819999999985,-3.4484519999999996
0.0,0.0,0.0,-3.999378,9.825089999999989,9.825089999999989,9.825089999999989,-3.999378,-3.999378
0.0,0.0,0.0,-3.9659140000000015,9.351910000000004,9.351910000000004,9.351910000000004,-3.9659140000000015,-3.9659140000000015
0.0,0.0,1.0,-2.344213,9.704110000000014,9.704110000000014,53.787859999999995,-2.344213,-3.9182720000000018
0.0,0.0,1.0,-3.2419909999999987,10.584580000000017,10.584580000000017,41.51764,-3.2419909999999987,-3.5527690000000014
0.0,0.0,1.0,-1.251926000000001,10.231519999999989,10.231519999999989,71.78066000000001,-1.251926000000001,-1.4608230000000013
3.0,1.0,0.0,-1.0621660000000013,20.55175,80.18270999999999,10.455369999999988,-2.307499,-3.9886589999999984
0.0,0.0,0.0,-3.926473999999999,9.670890000000014,9.670890000000014,9.670890000000014,-3.926473999999999,-3.926473999999999
0.0,0.0,0.0,-3.8565830000000005,9.065159999999992,9.065159999999992,9.065159999999992,-3.8565830000000005,-3.8565830000000005
0.0,0.0,0.0,-1.0785389999999992,11.23520000000002,11.23520000000002,11.23520000000002,-1.0785389999999992,-1.0785389999999992
0.0,0.0,1.0,-1.5317289999999986,11.549489999999992,11.549489999999992,22.595249999999993,-1.5317289999999986,-3.410826
0.0,0.0,0.0,-2.373539000000001,10.387619999999998,10.387619999999998,10.387619999999998,-2.373539000000001,-2.373539000000001
0.0,0.0,0.0,-3.151088999999999,9.423720000000003,9.423720000000003,9.423720000000003,-3.151088999999999,-3.151088999999999
0.0,0.0,0.0,-3.1752280000000006,9.706789999999984,9.706789999999984,9.706789999999984,-3.1752280000000006,-3.1752280000000006
0.0,0.0,0.0,-3.7528630000000014,9.583339999999993,9.583339999999993,9.583339999999993,-3.7528630000000014,-3.7528630000000014
0.0,0.0,0.0,-2.4994559999999986,10.11278999999999,10.11278999999999,10.11278999999999,-2.4994559999999986,-2.4994559999999986
0.0,0.0,0.0,-1.815645,9.831439999999986,9.831439999999986,9.831439999999986,-1.815645,-1.815645
1.0,2.0,0.0,-2.5971200000000003,62.49689000000001,52.53828999999999,11.107579999999984,-1.0018160000000016,-2.6677670000000013
0.0,0.0,0.0,-2.1660119999999985,11.211089999999984,11.211089999999984,11.211089999999984,-2.1660119999999985,-2.1660119999999985
0.0,0.0,2.0,-3.9091169999999984,10.882170000000002,10.882170000000002,20.807389999999998,-3.9091169999999984,-2.9572399999999988
0.0,0.0,0.0,-1.4100879999999982,9.921660000000003,9.921660000000003,9.921660000000003,-1.4100879999999982,-1.4100879999999982
1.0,6.0,0.0,-2.8905199999999986,40.50935000000001,10.880719999999997,10.880719999999997,-3.1211990000000007,-3.1211990000000007
4.0,2.0,0.0,-2.9520240000000015,20.54464999999999,30.097380000000015,10.46141,-3.58709,-3.614777
0.0,0.0,0.0,-1.7422499999999985,10.934799999999996,10.934799999999996,10.934799999999996,-1.7422499999999985,-1.7422499999999985
0.0,0.0,0.0,-2.3124600000000015,9.521389999999997,9.521389999999997,9.521389999999997,-2.3124600000000015,-2.3124600000000015
0.0,0.0,2.0,-2.6864029999999985,9.672899999999998,9.672899999999998,20.967579999999998,-2.6864029999999985,-1.7193320000000014
