0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action
1.0,179.77313,12.0,25.0,0.0,1.0,190.9552,8.0,23.429989,0.0,1.0,201.45268,4.0,22.085075,0.0,1.0,211.52876,0.0,23.997854,0.0,1.0,222.20645,8.0,22.913557,0.0,1.0,233.08481,8.0,21.254522,0.0,1.0,242.87782,0.0,21.454956,0.0,1.0,252.73372,12.0,22.183952,0.0,1.0,262.81372,8.0,21.343689,0.0,1.0,273.71585,0.0,22.414053,0.0,1
1.0,204.2706,12.0,24.170889,0.0,1.0,211.89766,8.0,18.548214,0.0,1.0,223.09146,4.0,21.10574,0.0,1.0,232.84383,0.0,18.761667,0.0,1.0,242.32,8.0,16.913557,0.0,1.0,252.39914,8.0,17.797483,0.0,1.0,262.68286,0.0,18.51954,0.0,1.0,274.35794,12.0,21.039133,0.0,1.0,283.21506,8.0,19.347523,0.0,1.0,295.4815,0.0,21.128298,0.0,1
1.0,228.3556,12.0,24.029203,0.0,1.0,228.70491,8.0,14.850765,0.0,1.0,243.72856,4.0,20.154444,0.0,1.0,250.40338,0.0,16.542053,0.0,1.0,256.43643,8.0,11.064536,0.0,1.0,269.4552,8.0,16.357021,0.0,1.0,280.6456,0.0,17.499765,0.0,1.0,294.9405,12.0,20.08266,0.0,1.0,301.6079,8.0,17.334879,0.0,1.0,316.1849,0.0,20.26987,0.0,3
1.0,254.38028,12.0,27.321438,0.0,1.0,263.56042,4.0,19.512291,0.0,1.0,266.46445,0.0,15.662095,0.0,1.0,266.63464,8.0,9.869804,0.0,1.0,242.06389,8.0,11.944837,0.0,1.0,285.36224,8.0,15.454337,0.0,1.0,297.93542,0.0,17.118082,0.0,1.0,314.62717,12.0,19.259344,0.0,1.0,318.1875,8.0,15.829787,0.0,1.0,330.76193,4.0,14.576056,0.0,1
1.0,282.04272,12.0,27.88404,0.0,1.0,281.96512,0.0,15.389522,0.0,1.0,282.86154,4.0,19.089096,0.0,1.0,276.71124,8.0,10.419701,0.0,1.0,300.50616,8.0,14.829613,0.0,1.0,252.9296,11.135567,12.058825,2.196392,1.0,314.98206,0.0,16.992046,0.0,1.0,333.54614,8.0,14.915194,0.0,1.0,333.55753,12.0,18.580172,0.0,1.0,345.6275,4.0,15.178831,0.0,4
1.0,307.97488,12.0,24.663736,0.0,1.0,301.80298,4.0,18.787117,0.0,1.0,315.12436,8.0,14.409999,0.0,1.0,297.3495,0.0,15.413848,0.0,1.0,287.51425,8.0,11.250453,0.0,1.0,331.95496,0.0,16.958635,0.0,1.0,348.22144,8.0,14.4749775,0.0,1.0,266.34735,11.863173,14.707018,0.370499,1.0,351.8765,12.0,18.046228,0.0,1.0,361.0239,4.0,15.602826,0.0,4
1.0,330.29495,12.0,20.796978,0.0,1.0,329.40802,8.0,14.169803,0.0,1.0,320.47043,4.0,18.53404,0.0,1.0,312.83105,0.0,15.573104,0.0,1.0,348.90463,0.0,16.936773,0.0,1.0,299.14206,8.0,12.039291,0.0,1.0,362.63318,8.0,14.3932,0.0,1.0,369.72858,12.0,17.655104,0.0,1.0,376.72586,4.0,15.765937,0.0,1.0,281.95633,11.981648,16.488554,0.05084479,3
1.0,352.70154,12.0,23.45264,0.0,1.0,343.5293,8.0,14.093394,0.0,1.0,365.8202,0.0,16.883053,0.0,1.0,338.88574,4.0,18.274023,0.0,1.0,328.49722,0.0,15.774085,0.0,1.0,377.0882,8.0,14.5609255,0.0,1.0,387.25345,12.0,17.398872,0.0,1.0,392.46002,4.0,15.647648,0.0,1.0,311.499,8.0,12.693951,0.0,1.0,299.10922,11.99779,17.90243,0.0062724687,1
1.0,376.42926,12.0,23.906464,0.0,1.0,382.65747,0.0,16.773693,0.0,1.0,391.78958,8.0,14.881441,0.0,1.0,357.6431,8.0,14.160345,0.0,1.0,357.01956,4.0,17.960127,0.0,1.0,404.5795,12.0,17.262436,0.0,1.0,407.94583,4.0,15.253581,0.0,1.0,344.36133,0.0,15.960968,0.0,1.0,427.1572,0.0,16.660643,0.0,1.0,428.05173,8.0,16.263987,0.0,3
1.0,402.39285,12.0,27.300463,0.0,1.0,399.35434,0.0,16.59635,0.0,1.0,406.85196,8.0,15.276673,0.0,1.0,421.81717,12.0,17.224815,0.0,1.0,422.91946,4.0,14.614945,0.0,1.0,374.7981,4.0,17.55055,0.0,1.0,371.88013,8.0,14.342195,0.0,1.0,443.50443,0.0,15.986256,0.0,1.0,360.3922,0.0,16.10017,0.0,1.0,444.56555,8.0,16.78176,0.0,4
1.0,428.03473,12.0,24.56401,0.0,1.0,422.32184,8.0,15.69014,0.0,1.0,437.16522,4.0,13.801597,0.0,1.0,439.05426,12.0,17.262398,0.0,1.0,415.8401,0.0,16.34637,0.0,1.0,459.1735,0.0,15.30811,0.0,1.0,461.55203,8.0,17.204424,0.0,1.0,392.10858,4.0,17.010561,0.0,1.0,386.33987,8.0,14.605494,0.0,1.0,469.89542,4.0,11.4340925,0.0,0
